standID,X,Y,charge
-1.0,22.2441,11.6842,-1.0
35.0,22.5247,11.8116,2.085601225570547
36.0,22.7959,11.9347,2.0163176944370136
37.0,20.8896,11.4672,1.3581241610720605
38.0,21.1736,11.5871,1.6006165159048893
39.0,21.4479,11.7029,1.7045418098488305
40.0,21.7318,11.8229,0.9424229811617566
41.0,22.1121,11.971,1.2888406313167062
42.0,22.3927,12.0984,1.1849153359945854
43.0,22.6639,12.2215,0.8038559216510485
44.0,22.9445,12.349,1.2195571001831726
45.0,23.0765,12.0621,0.7692141560842817
46.0,24.342,14.5907,0.2842294464186238
-1.0,24.342,15.0619,-1.0
47.0,23.1007,13.7432,1.0117065109171106
-1.0,23.1007,14.2057,-1.0
-1.0,24.7698,14.1196,-1.0
48.0,24.7698,14.5907,0.5960053310068067
49.0,24.7698,15.0619,1.0117065109171106
-1.0,24.7698,15.533,-1.0
50.0,24.7698,16.0042,1.1156318062392314
-1.0,22.6744,13.2808,-1.0
-1.0,22.6744,13.7432,-1.0
-1.0,22.6744,14.2057,-1.0
51.0,10.7923,11.6393,2.1202429897591344
52.0,11.0054,11.1048,0.8384976858396357
53.0,11.2746,10.5714,1.3234823955052935
54.0,11.5312,10.0583,1.3581241610720605
-1.0,11.8389,9.5682,-1.0
55.0,12.1908,9.0432,1.1849153359945854
-1.0,9.6459,9.596,-1.0
56.0,12.5612,8.59,0.6576775861409897
-1.0,9.2312,9.9481,-1.0
57.0,8.8488,10.2894,0.026657735296089023
58.0,8.4402,10.6889,0.5374833290997093
59.0,8.0617,11.0869,0.08675486381672973
60.0,23.1007,13.2808,-0.3639736014662508
61.0,19.7282,13.958,-0.183682214526151
62.0,19.4127,13.958,0.056706299556408886
63.0,17.8843,13.958,-0.24377934442497134
-1.0,17.5358,13.958,-1.0
-1.0,17.1881,13.958,-1.0
64.0,16.8396,13.958,0.5074347648393894
65.0,16.4911,13.958,0.2970948136389688
66.0,16.1433,13.958,0.23699768511832905
67.0,19.8669,16.8995,0.14685199233736945
68.0,19.8669,16.5771,0.4773861992008889
69.0,19.8669,16.2548,1.16850317994461
70.0,20.9878,17.3065,1.3187460012462102
71.0,20.9878,16.8771,0.5074347648393894
72.0,20.9878,16.4648,0.8680175359632297
73.0,20.9878,16.025,1.0483089229033296
74.0,20.1918,16.2548,0.2970948136389688
