standID,X,Y,charge
29.0,20.1918,16.2548,1.5659747503381225
136.0,20.1918,16.5771,-1.6925045634440916
70.0,20.1918,16.8995,1.3187460012462102
10.0,20.1918,14.6431,-1.176904023538615
32.0,20.1918,14.9655,1.4620494550160017
137.0,20.1918,15.2878,-1.6113304810907099
31.0,20.1918,15.6101,1.6006165159048893
120.0,20.1918,15.9325,-1.9630848361177884
55.0,19.8669,14.6431,1.1849153359945854
135.0,19.8669,14.9655,-1.5890079787261724
34.0,19.8669,15.2878,1.4966912205827685
134.0,19.8669,15.6101,-1.7402293853519037
39.0,19.8669,15.9325,1.7045418098488305
26.0,17.167,18.0361,0.46929592692589267
139.0,16.8607,17.8911,-1.070169937121497
41.0,16.5382,17.7468,1.2888406313167062
130.0,16.2584,17.599,-1.2865651682310706
43.0,15.937,17.4291,0.8038559216510485
1.0,20.3587,13.958,-0.697817777515356
16.0,15.7948,13.958,-0.5005469699239613
33.0,20.0418,13.958,1.1502735704278186
-1.0,24.3496,16.0042,-1.0
-1.0,24.3496,15.5331,-1.0
59.0,24.3496,14.1196,0.08675486381672973
-1.0,23.1007,14.6681,-1.0
-1.0,22.6744,14.6681,-1.0
82.0,20.3929,13.5369,0.14345584001318737
-1.0,20.1811,13.1701,-1.0
-1.0,9.6923,15.2651,-1.0
-1.0,13.3303,16.7161,-1.0
-1.0,12.7954,16.2812,-1.0
-1.0,12.3299,15.9027,-1.0
115.0,11.8661,15.5257,0.006609481564541212
-1.0,11.4005,15.1472,-1.0
114.0,8.834,12.7724,-0.04812906071237317
-1.0,9.3585,14.0929,-1.0
-1.0,8.747,14.7145,-1.0
-1.0,8.3909,15.7023,-1.0
-1.0,8.0627,16.3472,-1.0
96.0,7.8306,17.643,0.006609481564541212
112.0,20.9878,14.6932,0.17082511252982516
-1.0,8.2676,11.98,-1.0
-1.0,19.7954,10.6412,-1.0
-1.0,23.8712,16.7128,-1.0
63.0,15.8448,14.5245,-0.24377934442497134
94.0,15.8448,14.9642,0.5266256442206697
103.0,15.8448,15.4039,-0.5955144958851384
90.0,15.8448,15.8436,0.38977928577202253
116.0,15.8448,16.2833,-0.18497542053919994
100.0,15.8448,16.723,-0.23971396419429394
89.0,16.2933,14.5245,0.4718871005655747
12.0,16.2933,14.9642,-0.8387254960421983
47.0,16.2933,15.4039,1.0117065109171106
9.0,16.2933,15.8436,-0.9796332159472202
45.0,16.2933,16.2833,0.7692141560842817
101.0,16.2933,16.723,-0.26708323533275113
2.0,16.7421,14.5245,-0.5005469699239613
52.0,16.7421,14.9642,0.8384976858396357
129.0,16.7421,15.4039,-1.0705345871402856
40.0,16.7421,15.8436,0.9424229811617566
8.0,16.7421,16.2833,-0.697817777515356
113.0,16.7421,16.723,0.11608656887473019
93.0,17.191,14.5245,0.6361027315308586
138.0,17.191,14.9642,-1.0160538831380297
42.0,17.191,15.4039,1.1849153359945854
14.0,17.191,15.8436,-1.0078147604794965
75.0,17.191,16.2833,0.8079204074425891
102.0,17.191,16.723,-0.26708323533275113
20.0,17.6395,14.5245,-0.6053933459893795
50.0,17.6395,14.9642,1.1156318062392314
5.0,17.6395,15.4039,-1.120540935852242
73.0,17.6395,15.8436,1.0483089229033296
15.0,17.6395,16.2833,-0.697817777515356
68.0,17.6395,16.723,0.4773861992008889
71.0,18.0842,14.5245,0.5074347648393894
4.0,18.0842,14.9642,-0.7541808652017289
69.0,18.0842,15.4039,1.16850317994461
21.0,18.0842,15.8436,-1.0659744635437156
56.0,18.0842,16.2833,0.6576775861409897
22.0,18.0842,16.723,-0.4006906270763409
25.0,18.529,14.5245,-0.707744705445898
91.0,18.529,14.9642,0.6634720026693158
19.0,18.529,15.4039,-0.9636231040871962
72.0,18.529,15.8436,0.8680175359632297
6.0,18.529,16.2833,-0.613273145296707
107.0,18.529,16.723,0.4171485569104797
83.0,18.9746,14.5245,0.3624100146335663
18.0,18.9746,14.9642,-0.47745414597963964
78.0,18.9746,15.4039,0.8379689717029098
132.0,18.9746,15.8436,-0.6816795431063254
58.0,18.9746,16.2833,0.5374833290997093
7.0,18.9746,16.723,-0.21873153011391755
-1.0,15.4676,6.2612,-1.0
-1.0,15.4676,6.7009,-1.0
-1.0,15.4676,7.1406,-1.0
74.0,15.4676,7.5803,0.2970948136389688
109.0,15.4676,8.02,-0.15760614940074275
79.0,15.4676,8.4597,-0.03343939460273131
-1.0,15.9132,6.2612,-1.0
62.0,15.9132,6.7009,0.056706299556408886
-1.0,15.9132,7.1406,-1.0
60.0,15.9132,7.5803,-0.3639736014662508
80.0,15.9132,8.02,0.23699768511832905
-1.0,15.9132,8.4597,-1.0
